file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match,malware_rule_hits,risk_score,verdict
G:\Users\win10secu3\Documents\File\File199,File199,266057,be349d9ae09d8cf0f9065dd7a790a41416d3ebf93eb75015bd852266d3b223f9,255044462d312e370d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220,PDF,PDF_HEADER_V1,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File200,File200,1543898,e8f2c7602555751cf8fe40de5e51d1d51c3abcaf617af949cae601c7f21cb4fb,4d5a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd59b36449921e887daa6a76,EXE,PE_MZ_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File201,File201,867014,cca30ca51762ebc3627fb2bf0ad625f04e52ef1af1b5070132279f5f40015d7f,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,API_WINEXEC;REG_SET_VALUE,2,SUSPICIOUS
G:\Users\win10secu3\Documents\File\File202,File202,1204734,4fb8184bee8c99d59555e7e387a0ebec6df0e3e1801aa640133374ead7c56e78,42000200000020000000ffff05000001000000000000400000000100fb716a72000000000000000000000000000000000000,UNKNOWN,,,0,CLEAN
G:\Users\win10secu3\Documents\File\File203,File203,781,24795cf6cd080bb4897f9e532b34c1e2ebd3d841aa5bfcd30d8c75b833d69518,efbbbf3c230a2e53594e4f505349530a095072696e747320746865205348413235362068617368206f6620612066696c650a,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File204,File204,681,a3a56b01c83255a27ffc21329316ee7bbc2fe6a0e0dc4449d1e8d154312b7ce4,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c73204f42532053747564696f20286e656564732061646d696e20,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File205,File205,169050,d0aa4a315d66e1197e18c51b0924b09e5c716b1204fafb8ac43d101a9da06a89,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_GENERIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File206,File206,209333,f435ebe4e5aef3479aedf5b2128f6111635cce44f4a7f19cb3ea8d92d21b216d,504b03041400060008000000210024ec50bf8201000024070000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File207,File207,726251,101bcf563ebe0e8ef4f0a63513614791b3c306c10f8382416276992a85dd63b1,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,URL_PROTOCOL;API_WINEXEC;REG_SET_VALUE,3,SUSPICIOUS
G:\Users\win10secu3\Documents\File\File208,File208,3060289,24a50953cdcb5923deb5c91fc03c89144d6b48ce288457a85f380f511cf6f0ff,504b030414000600080000002100e4a7b06feb010000350d0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File209,File209,202653,19de82512ea67a8ca22985d597dc2190f33d23a410315fde887e60bd525a268b,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031340a2f,PDF,PDF_HEADER_V1,,0,CLEAN
G:\Users\win10secu3\Documents\File\File210,File210,184563,ff59a2acd6b318ffc75e2ed3c5936c69d56eda24b6a57049a5d75f14308c00e7,504b03040a000000080000002100fc1fed11250200004305000010000000646f6350726f70732f6170702e786d6c9c54df6f,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File211,File211,458026,dcfff3750dfaabd52f4c62a35a98f1d0df5227aec8ebfcc2e8167bc71c4b05cc,504b0304140006000800000021003bf479e32e030000b810000014000000786c2f70726573656e746174696f6e2e786d6cec,ZIP,OOXML_XLSX_HINT,,0,CLEAN
G:\Users\win10secu3\Documents\File\File212,File212,182,5949cf679127b5a6fdb19a4200f72a8bb2b6095bd61e64692cb6b39a06fa96f9,406563686f206f66660d0a736574206164766963653d5374617920706f7369746976652e7c54616b6520627265616b732e7c,BAT,BAT_ECHO_OFF,,0,CLEAN
G:\Users\win10secu3\Documents\File\File213,File213,66043,47914ae30332a9b287cd49cf1848a923790dec9693742ea370ee5ae9d5f4cd4f,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File214,File214,166868,568ea3e5a0735f8eb6cde01fe02dd588f2474ecb959188c4fe55a4252cf1d429,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_GENERIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File215,File215,643,39f623db0d8f79359e3f585fec270bf9a189c19392e4a69d111ecc71415bad32,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c732056697375616c2053747564696f20436f64650a2e44455343,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File216,File216,628,44e76ab7e070b8e79e26f13b31c2c574ac6194364864ed485961ecbce0a19dc7,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c732047697420457874656e73696f6e730a2e4445534352495054,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File217,File217,14118,0d359811829860ca2834f57db70b89d41ec044ab22f85f1a87f5c22228d5d899,202020202020202020202020202020202020202020204555524f5045414e20554e494f4e205055424c4943204c4943454e43,TXT,TXT_HEURISTIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File218,File218,1394042,0037cf511e2b34db246d16b964f9373c21b2dc7b268b9cfcbe89620b16fc4c74,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b06dc975,PNG,PNG_SIGNATURE,,0,CLEAN
G:\Users\win10secu3\Documents\File\File219,File219,127189,a119016709f406bf1550822b2bdc3807c1a2fdb953e387e9257e08d1a81549f9,ffd8ffe000104558494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_GENERIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File220,File220,191,a02767a52d8c1fcde77ed6d297d3ac17029275c6125af1c6ac5a618904f71c6e,406563686f206f66660d0a73657420776f72643d68656c6c6f0d0a73657420736372616d626c65643d0d0a666f72202f6c20,BAT,BAT_ECHO_OFF,,0,CLEAN
