file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match
F:\Users\win10secu3\Documents\File\File148,File148,315392,9e345ad76741371fbba34da23c39ccc3897ae35846ee44ab79fbfe18d3a9fd4e,FFFB90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,UNKNOWN,
F:\Users\win10secu3\Documents\File\File149,File149,27228,ca651505e86f7be138e5fc8a11b450a175064952e4bf882c332aba1831497212,504B0304140008080800CE13765900000000000000000000000010000000776F72642F666F6F746572312E786D6CED57FF6E,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File150,File150,955283,9db6a42860fa24a4f1b731f6ec736bd1235f95806c66b6d27064dde5917a974e,504B03040A000000000000002100FFFFFFFF2002000020020000100000005B74726173685D2F303030302E646174FFFFFFFF,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File151,File151,4723372,861b99687b257f226a124b0bf7d028d46bef5cfb31cccf4e68bd448af06fc2d4,504B030414000600080000002100B7BBC7DCA402000000250000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File152,File152,151135,6329dda11c90cc6461e58fbebfb0ed1ae744d5177b647748826eb22472b128c4,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File153,File153,40590,2d722a116f991e38f3f64fd486109be6280d91c1804682b4e40f67a7682d899f,504B0304140008080800BABB755500000000000000000000000010000000786C2F636F6D6D656E7473312E786D6C8D53CB6E,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File154,File154,22534,42f2787a27c9889b60b1ef6da602c57c9a4fe0b6a945c7cc0fda60a8980d7e35,45006400750063006100740069006F006E0061006C00200043006F006D006D0075006E0069007400790020004C0069006300,UNKNOWN,
F:\Users\win10secu3\Documents\File\File155,File155,301568,3e30293590a4f124e5ad3a783f312f0a4607331799d31e103011a90af5aa8e92,4D5A50000200000004000F00FFFF0000B80000000000000040001A0000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File156,File156,347444,2dc04d6ab4d83b63c572f6a2aa0817c70394b8cb7342ea603a04e8cee59d764e,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220,PDF,pdf
F:\Users\win10secu3\Documents\File\File157,File157,10483,320bee996580871e3863b5d8bcb333a83519bff327e2764bb82f84065f44d25d,41636164656D69632046726565204C6963656E736520282241464C222920762E20332E300D0A0D0A54686973204163616465,UNKNOWN,
