file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match
C:\Users\Wendel Leander\AppData\Roaming\Microsoft\Windows\Recent\File001.lnk,File001.lnk,541,3564a74338a44c76640807b1b63ec877ddf0d18c9e0797ff787f17faf4e04967,4C0000000114020000000000C00000000000004693002000200000000078A7809A9BDC0156F822E7469CDC016AC7906DDE9B,UNKNOWN,
C:\Users\Wendel Leander\AppData\Roaming\Microsoft\Windows\Recent\File058.lnk,File058.lnk,541,b50286029b2a732e4a5397fedb011ec9a0fe7c011db6e091c628c9421606b550,4C0000000114020000000000C000000000000046930020002000000000042EC89A9BDC010E2BB4F9F19BDC0143A2A06FDE9B,UNKNOWN,
C:\Users\Wendel Leander\AppData\Roaming\Microsoft\Windows\Recent\File112.lnk,File112.lnk,541,35f15580f48ff1dbb1b66e93e4201c7a456fec81d08ab26bbc54f191cd70ac34,4C0000000114020000000000C0000000000000469300200020000000004AF1EB9A9BDC011E5A71788E9EDC015CCE5871DE9B,UNKNOWN,
